Time,Totalcalls,ActiveCalls,RingingCalls
Tue Jul 19 01:23:26 EST 2022,0,0,0
Tue Jul 19 01:23:36 EST 2022,0,0,0
Tue Jul 19 01:23:46 EST 2022,0,0,0
Tue Jul 19 01:23:56 EST 2022,0,0,0
Tue Jul 19 01:24:06 EST 2022,0,0,0
Tue Jul 19 01:24:16 EST 2022,0,0,0
Tue Jul 19 01:24:26 EST 2022,0,0,0
Tue Jul 19 01:24:36 EST 2022,0,0,0
Tue Jul 19 01:24:46 EST 2022,0,0,0
Tue Jul 19 01:24:56 EST 2022,0,0,0
Tue Jul 19 01:25:06 EST 2022,0,0,0
